ID     | Command line                                                                                                                                                 | Date and time    | Action(s)      | Altered
   148 | install subversion yasm cvs cmake ragel                                                                                                                      | 2023-07-20 14:51 | Install        |    4   
   147 | install git libtool pkgconfig                                                                                                                                | 2023-07-20 14:50 | Install        |    6   
   146 | install lua-devel                                                                                                                                            | 2023-07-20 14:45 | Install        |    2   
   145 |                                                                                                                                                              | 2023-07-20 10:52 | Upgrade        |   28  <
   144 | update                                                                                                                                                       | 2023-07-19 07:25 | Upgrade        |  105 > 
   143 | update                                                                                                                                                       | 2023-07-19 07:23 | Upgrade        |   72 EE
   142 | update                                                                                                                                                       | 2023-07-14 10:26 | Upgrade        |    6   
   141 | update --refresh                                                                                                                                             | 2023-07-13 10:09 | Upgrade        |    9   
   140 | group update core                                                                                                                                            | 2023-07-13 10:08 | I, U           |    2  <
   139 | install https://download1.rpmfusion.org/nonfree/fedora/rpmfusion-nonfree-release-38.noarch.rpm                                                               | 2023-07-13 10:07 | Install        |    1 > 
   138 | install https://download1.rpmfusion.org/free/fedora/rpmfusion-free-release-38.noarch.rpm                                                                     | 2023-07-13 10:06 | Install        |    1   
   137 | update --refresh                                                                                                                                             | 2023-07-13 10:04 | Upgrade        |   10   
   136 | install kernel-headers kernel-devel dkms                                                                                                                     | 2023-07-13 10:03 | Install        |    1 EE
   135 | install apfs-fuse                                                                                                                                            | 2023-07-12 12:11 | Install        |    1   
   134 | -y install --disablerepo=* /tmp/akmods.pmbJZ6WY/results/kmod-nvidia-6.3.12-200.fc38.x86_64-535.54.03-1.fc38.x86_64.rpm                                       | 2023-07-12 10:17 | Install        |    1   
   133 | install rpmconf                                                                                                                                              | 2023-07-12 10:16 | Install        |    3   
   132 | update                                                                                                                                                       | 2023-07-12 10:14 | C, E, I, U     |   54 EE
   131 | update                                                                                                                                                       | 2023-07-11 03:47 | Upgrade        |   35  <
   130 | -y install --disablerepo=* /tmp/akmods.CvkLoiGg/results/kmod-nvidia-6.3.11-200.fc38.x86_64-535.54.03-1.fc38.x86_64.rpm                                       | 2023-07-07 15:01 | Install        |    1 >#
   129 | system-upgrade upgrade                                                                                                                                       | 2023-07-07 14:04 | C, D, E, I, O, | 8080 E<
   128 |                                                                                                                                                              | 2023-07-07 13:36 | Removed        |   23 > 
   127 | upgrade                                                                                                                                                      | 2023-07-07 10:36 | I, O, U        |   39   
   126 | upgrade code                                                                                                                                                 | 2023-07-07 10:34 | Upgrade        |    1   
   125 | install waydroid                                                                                                                                             | 2023-07-06 13:44 | Install        |    9 EE
   124 |                                                                                                                                                              | 2023-07-06 10:37 | Upgrade        |   31  <
   123 | install wine                                                                                                                                                 | 2023-07-05 12:53 | Install        |  241 >#
   122 | install httrack                                                                                                                                              | 2023-07-05 12:50 | Install        |    1   
   121 |                                                                                                                                                              | 2023-07-05 10:14 | Upgrade        |    9 EE
   120 | -y install --disablerepo=* /tmp/akmods.eLHXYFVn/results/kmod-nvidia-6.3.7-100.fc37.x86_64-535.54.03-1.fc37.x86_64.rpm                                        | 2023-07-05 10:02 | Upgrade        |    1   
   119 | install -y nvidia-container-toolkit-base                                                                                                                     | 2023-07-04 16:54 | Install        |    1  <
   118 | install nodejs-npm                                                                                                                                           | 2023-07-04 06:33 | Install        |    5 > 
   117 | update                                                                                                                                                       | 2023-07-04 03:11 | Upgrade        |   32   
   116 | install libvirt qemu-kvm -y                                                                                                                                  | 2023-06-28 12:20 | Install        |    5 EE
